"sp","effect"
1,1
1,2
1,31
1,33
1,34
1,10
1,22
1,23
1,35
1,37
1,38
1,36
2,1
2,26
2,2
2,31
2,33
2,30
2,5
2,10
2,22
2,27
2,23
2,35
2,37
2,14
2,36
3,1
3,26
3,2
3,31
3,39
3,33
3,30
3,8
3,11
3,22
3,27
3,23
3,28
3,35
3,37
3,24
3,12
3,13
3,14
3,16
3,21
3,32
3,36
4,1
4,2
4,39
4,9
4,35
4,37
4,22
4,23
4,32
4,36
5,1
5,2
5,31
5,39
5,5
5,6
5,7
5,19
5,23
5,22
5,27
5,35
5,37
5,14
5,25
5,36
6,1
6,26
6,2
6,31
6,39
6,33
6,11
6,22
6,23
6,35
6,37
6,24
6,12
6,14
6,16
6,38
6,36
7,1
7,26
7,2
7,31
7,39
7,33
7,30
7,6
7,7
7,18
7,19
7,22
7,27
7,23
7,28
7,35
7,37
7,24
7,29
7,12
7,13
7,14
7,15
7,20
7,38
7,32
7,36
8,1
8,2
8,31
8,39
8,33
8,7
8,22
8,23
8,28
8,35
8,37
8,29
8,13
8,14
8,38
8,36
9,1
9,2
9,31
9,33
9,30
9,7
9,17
9,22
9,27
9,35
9,37
9,36
10,1
10,2
10,31
10,39
10,30
10,4
10,18
10,10
10,22
10,27
10,35
10,37
10,29
10,14
10,16
10,36
11,1
11,2
11,31
11,5
11,10
11,11
11,22
11,27
11,23
11,28
11,35
11,37
11,24
11,12
11,13
11,14
11,15
11,16
11,21
11,38
11,36
12,1
12,26
12,2
12,31
12,39
12,33
12,34
12,30
12,11
12,22
12,27
12,23
12,28
12,35
12,37
12,14
12,15
12,38
12,25
12,36
13,1
13,2
13,31
13,18
13,6
13,8
13,23
13,22
13,27
13,35
13,37
13,32
13,36
14,1
14,26
14,2
14,31
14,30
14,10
14,11
14,22
14,27
14,35
14,37
14,36
15,1
15,2
15,31
15,5
15,6
15,18
15,8
15,9
15,22
15,27
15,23
15,35
15,37
15,24
15,14
15,38
15,36
16,1
16,26
16,30
16,10
16,11
16,22
16,23
16,35
16,37
16,29
16,12
16,14
16,38
16,36
17,1
17,2
17,31
17,10
17,22
17,23
17,35
17,16
18,1
18,26
18,2
18,31
18,5
18,6
18,7
18,19
18,10
18,28
18,22
18,27
18,35
18,37
18,29
18,36
19,1
19,2
19,31
19,30
19,10
19,23
19,22
19,35
19,37
19,29
19,14
19,16
19,36
20,1
20,2
20,31
20,10
20,11
20,22
20,27
20,23
20,35
20,37
20,24
20,36
21,1
21,26
21,2
21,31
21,10
21,11
21,22
21,27
21,23
21,28
21,35
21,37
21,24
21,29
21,12
21,13
21,14
21,15
21,36
22,1
22,2
22,31
22,39
22,5
22,6
22,7
22,18
22,19
22,10
22,22
22,23
22,35
22,37
22,14
22,36
23,1
23,26
23,2
23,31
23,39
23,33
23,5
23,6
23,18
23,19
23,10
23,11
23,22
23,23
23,28
23,35
23,37
23,24
23,29
23,12
23,14
23,15
23,20
23,36
24,1
24,2
24,31
24,22
24,23
24,35
24,37
24,36
25,1
25,26
25,2
25,31
25,39
25,34
25,30
25,6
25,7
25,9
25,10
25,22
25,27
25,23
25,35
25,37
25,29
25,12
25,14
25,15
25,21
25,38
25,36
26,1
26,26
26,2
26,31
26,6
26,7
26,35
26,37
26,14
26,16
26,36
27,1
27,26
27,2
27,33
27,30
27,22
27,27
27,23
27,35
27,37
27,24
27,29
27,12
27,13
27,14
27,16
27,38
27,3
27,36
28,1
28,2
28,31
28,4
28,18
28,19
28,10
28,22
28,27
28,23
28,35
28,37
28,15
28,36
29,1
29,2
29,31
29,19
29,22
29,27
29,23
29,35
29,29
30,1
30,26
30,2
30,31
30,39
30,33
30,6
30,18
30,22
30,27
30,23
30,28
30,35
30,37
30,14
30,32
30,36
31,1
31,2
31,17
31,8
31,22
31,23
31,35
31,37
31,36
32,1
32,26
32,2
32,31
32,30
32,9
32,22
32,23
32,28
32,35
32,37
32,24
32,29
32,14
32,36
33,1
33,2
33,31
33,18
33,22
33,23
33,35
33,37
33,16
33,36
