"sp","effect"
1,11
1,13
1,18
1,9
1,10
1,17
1,19
1,15
1,16
1,20
1,21
2,11
2,13
2,18
2,17
2,19
3,11
3,13
3,5
3,18
3,17
3,19
4,1
4,9
4,10
4,3
5,11
5,13
5,5
5,7
5,18
5,17
5,19
5,12
5,15
6,11
6,13
6,18
6,5
6,6
6,7
6,8
6,17
6,19
6,3
6,4
7,11
7,5
7,7
7,18
7,9
7,10
7,17
7,23
8,11
8,13
8,18
8,5
8,6
8,17
8,20
9,11
9,5
9,6
9,9
9,17
9,19
10,1
10,18
10,20
11,11
11,18
11,5
11,17
11,19
12,1
12,13
12,18
12,9
12,7
12,5
13,1
13,18
14,11
14,13
14,7
14,18
14,9
14,17
14,12
14,23
14,14
15,11
15,13
15,7
15,18
15,17
15,19
15,3
16,11
16,5
16,6
16,7
16,18
16,9
16,10
16,17
16,19
17,11
17,5
17,7
17,18
17,9
17,10
17,17
17,19
17,23
18,1
18,13
18,18
18,9
18,5
18,7
19,11
19,13
19,5
19,7
19,18
19,17
19,19
20,1
20,18
20,5
20,7
21,11
21,17
21,22
22,11
22,5
22,7
22,18
22,9
22,10
22,17
22,19
22,14
23,11
23,17
24,1
24,18
24,20
24,21
25,11
25,18
25,5
25,17
25,19
26,1
26,13
26,18
27,1
27,18
27,9
27,7
27,5
27,15
28,11
28,9
28,10
28,17
28,19
28,12
29,11
29,18
29,17
29,19
29,3
29,4
30,11
30,18
30,2
30,17
30,3
30,20
